e87521
g20500
e11070
n1820
ffpos
e01200
PT_binc_w2_wages
DSI
mcare_ben
e26190
RECID
FLPDYR
e24518
blind_head
e09800
e07240
XTOT
age_spouse
e02400
p23250
f6251
e08800
e30400
e27200
e03230
n21
e00300
e02300
e03210
e19800
e87530
e25980
e02100s
e07200
e00900s
e17500
e09900
e00200s
e02100
pencon_p
housing_ben
cmbtp
fips
e07300
agi_bin
e26270
e01500
PT_SSTB_income
e01100
e18400
e07180
e09400
e33000
e03400
e11200
vet_ben
PT_ubia_property
a_lineno
e19200
e32800
P04470
e07400
h_seq
nu13
e00900p
e59560
ssi_ben
e03220
e00700
e02000
e01000
nu06
e03240
e03260
e03270
e07260
e07600
e02100p
wic_ben
tanf_ben
e03300
e24515
e00100
age_head
e25960
e09700
e00650
e01400
e01700
e20800
e03500
e09600
nu18
e60000
e18500
k1bx14p
e03290
f2441
P65300
k1bx14s
e04600
e21040
e62100
e20100
pencon_s
snap_ben
e04800
EIC
e00200
e00800
e02500
e00200p
e07230
other_ben
e25860
e20400
blind_spouse
e58990
n24
mcaid_ben
e62900
p08000
filer
e19700
e25850
e26180
data_source
e03150
s006
e00600
XOODEP
recid
elderly_dependents
e00400
MIDR
p22250
e58950
MARS
e00900
