,total,u26,26u35,35u45,45u55,55u60,60u65,65u75,75plus
total,54.101786,3.85223,10.809061,12.371846,13.66369,6.44662,4.620493,2.166129,0.171717
u5K,0.25574,0.099001,0.040691,0.034054,0.032044,0.01657,0.019969,0.058908,0.010264
5u10K,0.426988,0.212898,0.092753,0.033518,0.038611,0.012344,0.021642,0,0
10u15K,0.832776,0.319038,0.202345,0.10167,0.103073,0.030155,0.035956,0,0
15u20K,1.303393,0.455414,0.328227,0.17323,0.167398,0.073128,0.067773,0.033243,0.00498
20u25K,1.838824,0.500428,0.49034,0.29335,0.273827,0.132307,0.079015,0.061519,0.008038
25u30K,2.156256,0.423746,0.614889,0.381434,0.363254,0.185447,0.119796,0.060696,0.006994
30u40K,4.57435,0.66638,1.278698,0.915944,0.890961,0.398187,0.29537,0.111804,0.017006
40u50K,4.327857,0.391857,1.218442,0.924832,0.883813,0.440365,0.336617,0.125608,0.006323
50u75K,9.469062,0.514707,2.313893,2.119947,2.219344,1.055354,0.837587,0.38464,0.02359
75Ku0.1M,7.934844,0.154926,1.612974,1.899109,2.112406,1.06488,0.726457,0.338775,0.025317
0.1u0.2M,15.04595,0.105695,2.16125,3.93962,4.553833,2.124539,1.471946,0.653122,0.035945
0.2u0.5M,4.932636,0.006631,0.410598,1.324152,1.655707,0.743747,0.504015,0.263552,0.024234
0.5u1.0M,0.711528,0.000777,0.032878,0.173618,0.263171,0.116987,0.070785,0.048391,0.004921
1.0u1.5M,0.143007,0.000293,0.005374,0.031044,0.052756,0.025388,0.014919,0.011678,0.001555
1.5u2.0M,0.051513,0.000127,0.002087,0.010133,0.019231,0.008885,0.006088,0.004188,0.000774
2u5M,0.071083,0.000214,0.00248,0.012566,0.025645,0.013272,0.008894,0.006875,0.001137
5Mplus,0.016421,0.000072,0.000733,0.002377,0.005664,0.003224,0.002246,0.001774,0.000331
5u10M,0.009558,0.000026,0.000409,0.001248,0.002952,0.001841,0.001418,0.001356,0.000308
10u30M,0.0013,0.00002,0.0001,0.0002,0.0005,0.0002,0.0002,0.0001,0.00001
